tree_id	token_index	token	head_index
0	0	สาธารณรัฐ	4
0	1	สังคมนิยม	0
0	2	โซเวียต	0
0	3	อับคาเซีย	0
0	4	เป็น	ROOT
0	5	สาธารณรัฐ	4
0	6	ที่	7
0	7	มี	5
0	8	อยู่	7
0	9	เป็น	11
0	10	เวลา	9
0	11	สั้น	7
0	12	ๆ	11
0	13	ใน	14
0	14	ภูมิภาค	7
0	15	คอเคซัส	14
0	16	ของ	17
0	17	สหภาพ	14
0	18	โซเวียต	17
1	0	แมว	2
1	1	เป็น	2
1	2	สปีชีส์	ROOT
1	3	สัตว์	2
1	4	เลี้ยง	3
1	5	ของ	6
1	6	สัตว์	2
1	7	เลี้ยง	6
1	8	ลูก	7
1	9	ด้วย	10
1	10	นม	7
2	0	ชาว	13
2	1	ยุโรป	0
2	2	คน	0
2	3	แรก	2
2	4	ที่	5
2	5	เดินทาง	0
2	6	ถึง	7
2	7	พื้นที่	5
2	8	แถบ	7
2	9	ตัลกาวาโน	8
2	10	ใน	11
2	11	ปัจจุบัน	9
2	12	คือ	13
2	13	ฆวน	ROOT
2	14	เบาติสตา	13
2	15	ปัสเตเน	13
3	0	สถานี	2
3	1	ไฉวัน	0
3	2	เปิด	ROOT
3	3	ให้	2
3	4	บริการ	3
3	5	ครั้ง	2
3	6	แรก	5
3	7	วันที่	2
3	8	31	7
3	9	พฤษภาคม	8
3	10	พ.ศ.	11
3	11	1985	8
4	0	เมื่อ	2
4	1	จิวยี่	2
4	2	เสียชีวิต	7
4	3	ไป	2
4	4	แล้ว	2
4	5	โลซก	7
4	6	ได้	7
4	7	ขึ้น	ROOT
4	8	เป็น	7
4	9	แม่ทัพ	8
4	10	ใหญ่	9
4	11	แทน	8
5	0	ทะเลสาบ	3
5	1	แห่ง	0
5	2	นี้	1
5	3	มี	ROOT
5	4	พื้นที่	3
5	5	17,700	6
5	6	ตาราง	4
5	7	กิโลเมตร	6
6	0	พระบาทสมเด็จ	1
6	1	พระจุลจอมเกล้า	3
6	2	เจ้าอยู่หัว	1
6	3	โปรด	ROOT
6	4	ให้	3
6	5	เปลี่ยน	4
6	6	คำ	5
6	7	นำ	6
6	8	พระนาม	7
6	9	เป็น	5
6	10	พระเจ้าน้องนางเธอ	9
7	0	ส่วน	2
7	1	มณฑป	0
7	2	ทำ	ROOT
7	3	ย่อเก็จ	2
7	4	มี	2
7	5	ซุ้ม	4
7	6	พระ	5
7	7	ทั้ง	8
7	8	4	9
7	9	ด้าน	5
8	0	ผู้ป่วย	3
8	1	ส่วนใหญ่	0
8	2	สามารถ	3
8	3	รักษา	ROOT
8	4	แบบ	3
8	5	ประคับประคอง	4
8	6	อาการ	5
8	7	ได้	3
8	8	ที่	9
8	9	บ้าน	3
9	0	เกาะ	2
9	1	นี้	0
9	2	เป็น	ROOT
9	3	ที่	2
9	4	รู้จัก	3
9	5	กัน	4
9	6	ดี	4
9	7	ใน	8
9	8	หมู่	4
9	9	พวก	10
9	10	ไวกิง	8
10	0	พระองค์	1
10	1	ทำ	ROOT
10	2	สงคราม	1
10	3	กับ	4
10	4	อังกฤษ	1
11	0	โครงการ	4
11	1	นี้	0
11	2	กลับ	4
11	3	ถูก	4
11	4	ปล่อย	ROOT
11	5	ละเลย	4
12	0	บิลเลโรฟอน	2
12	1	เป็น	2
12	2	โอรส	ROOT
12	3	ของ	4
12	4	กลอคัส	2
12	5	พระราชา	4
12	6	แห่ง	7
12	7	เมือง	5
12	8	คอรินท์	7
12	9	กับ	10
12	10	ยูริโน	4
13	0	อุโบสถ	2
13	1	ทรงไทย	0
13	2	สร้าง	ROOT
13	3	ปี	2
13	4	พ.ศ.	5
13	5	2470	3
14	0	ปัญหา	5
14	1	ดังกล่าว	0
14	2	ใน	3
14	3	ภายหลัง	5
14	4	ได้	5
14	5	มี	ROOT
14	6	การ	5
14	7	ระบุ	6
14	8	ว่า	9
14	9	เป็น	7
14	10	ปัญหา	9
14	11	คันเร่ง	10
14	12	ค้าง	11
15	0	อี	2
15	1	ฮี-โฮ	0
15	2	ดำรง	ROOT
15	3	ตำแหน่ง	2
15	4	ประธาน	3
15	5	ของ	6
15	6	ศูนย์	4
15	7	สันติภาพ	6
15	8	คิมแดจุง	6
16	0	เธอ	1
16	1	เกิด	ROOT
16	2	ที่	3
16	3	เมือง	1
16	4	เคโจ	3
16	5	จังหวัด	4
16	6	เคกิ	5
17	0	บิดา	5
17	1	ของ	2
17	2	เขา	0
17	3	เคย	5
17	4	ถูก	5
17	5	ถอด	ROOT
17	6	ออก	5
17	7	จาก	8
17	8	การ	6
17	9	สืบ	8
17	10	ราชสันตติวงศ์	9
17	11	แห่ง	12
17	12	สหราชอาณาจักร	10
18	0	นาย	1
18	1	สุเทพ	7
18	2	เทือกสุบรรณ	1
18	3	อดีต	4
18	4	เลขาธิการ	1
18	5	พรรค	4
18	6	เป็น	ROOT
18	7	ผู้	6
18	8	จัดการ	7
18	9	และ	10
18	10	ออก	8
18	11	ค่า	10
18	12	ใช้จ่าย	11
18	13	เอง	10
18	14	ทั้งหมด	10
19	0	ต่อมา	2
19	1	เขา	2
19	2	ฆ่าตัวตาย	ROOT
19	3	ด้วย	4
19	4	การ	2
19	5	กัด	4
19	6	แคปซูล	5
19	7	บรรจุ	6
19	8	ไซยาไนด์	7
20	0	โดยมาก	2
20	1	มัก	2
20	2	เสถียร	ROOT
20	3	ต่อ	4
20	4	ความ	2
20	5	ร้อน	4
21	0	ปากานีนี	1
21	1	หัด	ROOT
21	2	เล่น	1
21	3	ดนตรี	2
21	4	ตั้งแต่	5
21	5	อายุ	1
21	6	5	7
21	7	ปี	5
22	0	สุสาน	8
22	1	ประจำ	2
22	2	ตระกูล	0
22	3	โจว	2
22	4	ที่	5
22	5	ประเทศ	0
22	6	จีน	5
22	7	ถูก	8
22	8	ทำลาย	ROOT
22	9	ลง	8
23	0	พระองค์	1
23	1	ได้รับ	ROOT
23	2	การ	1
23	3	ประกาศ	2
23	4	ให้	3
23	5	เป็น	4
23	6	ยังดีเปอร์ตวนอากง	5
24	0	โดม	2
24	1	สามารถ	2
24	2	สร้าง	ROOT
24	3	ได้	2
24	4	โดย	5
24	5	ใช้	2
24	6	คอนกรีต	5
24	7	หรือ	8
24	8	อิฐ	6
25	0	ส่วนใหญ่	2
25	1	เป็น	2
25	2	พืช	ROOT
25	3	ล้มลุก	2
26	0	อิซวัน	1
26	1	ลง	ROOT
26	2	เล่น	1
26	3	ให้	5
26	4	กับ	3
26	5	ทีม	2
26	6	ชาติ	5
26	7	สิงคโปร์	6
26	8	ครั้ง	2
26	9	แรก	8
26	10	ใน	11
26	11	นัด	2
26	12	กระชับ	11
26	13	มิตร	12
26	14	ที่	15
26	15	พบ	11
26	16	กับ	17
26	17	จีน	15
26	18	ไทเป	17
27	0	อำเภอ	2
27	1	นี้	0
27	2	มี	ROOT
27	3	ประชากร	2
27	4	23,244	5
27	5	คน	3
28	0	ความ	9
28	1	พยายาม	0
28	2	ของ	3
28	3	ฮิเดโยชิ	0
28	4	ใน	5
28	5	การ	0
28	6	ยึดครอง	5
28	7	เกาหลี	6
28	8	นั้น	0
28	9	ล้มเหลว	ROOT
29	0	ใน	1
29	1	ธรรมชาติ	2
29	2	สูง	ROOT
29	3	ได้	2
29	4	ถึง	6
29	5	15	6
29	6	เมตร	2
30	0	วัด	2
30	1	นี้	0
30	2	ได้รับ	ROOT
30	3	พระราชทาน	2
30	4	โปรดเกล้า	3
30	5	ฯ	4
30	6	ยก	2
30	7	ฐานะ	6
30	8	ขึ้น	6
30	9	เป็น	6
30	10	พระอาราม	9
30	11	หลวง	10
30	12	เมื่อ	13
30	13	วันที่	2
30	14	31	13
30	15	พฤษภาคม	14
30	16	พ.ศ.	17
30	17	2521	14
31	0	โอดะ	3
31	1	โนบูนางะ	0
31	2	ได้	3
31	3	เบน	ROOT
31	4	ความ	3
31	5	สนใจ	4
31	6	ไป	3
31	7	ยัง	8
31	8	แถบ	3
31	9	คันโต	8
31	10	ใน	11
31	11	ทาง	9
31	12	ตะวันออก	11
32	0	เขา	1
32	1	เป็น	ROOT
32	2	ที่	1
32	3	รู้จัก	2
32	4	กัน	3
32	5	ดี	3
32	6	ใน	7
32	7	บทบาท	3
32	8	ของ	9
32	9	เขา	7
32	10	ใน	11
32	11	ฐานะ	7
32	12	M'Baku	11
33	0	มี	ROOT
33	1	กำหนด	0
33	2	จัด	1
33	3	ขึ้น	2
33	4	ที่	5
33	5	โซล	2
33	6	ประเทศ	5
33	7	เกาหลีใต้	6
34	0	รูปแบบ	8
34	1	ของ	2
34	2	อนุภาค	0
34	3	รังสี	2
34	4	ชนิด	2
34	5	อื่น	4
34	6	ๆ	5
34	7	อาจ	8
34	8	ทำให้	ROOT
34	9	เกิด	8
34	10	การ	9
34	11	ย่อยสลาย	10
34	12	ด้วย	13
34	13	แสง	11
34	14	ได้	9
35	0	ใบ	3
35	1	หนา	0
35	2	เป็น	3
35	3	รูป	ROOT
35	4	รี	3
35	5	ถึง	6
35	6	รูป	3
35	7	ไข่	6
36	0	กระทั่ง	1
36	1	ปลาย	10
36	2	ปี	1
36	3	พ.ศ.	4
36	4	2549	2
36	5	พระองค์เจ้า	6
36	6	นโรดม	10
36	7	มารี	6
36	8	รณฤทธิ์	6
36	9	ได้	10
36	10	แยก	ROOT
36	11	กัน	10
36	12	อยู่	10
36	13	และ	15
36	14	ทรง	15
36	15	ฟ้องหย่า	10
36	16	สมเด็จกรมพระ	17
36	17	นโรดม	15
36	18	รณฤทธิ์	17
37	0	ผล	1
37	1	รูป	ROOT
37	2	ไข่	1
37	3	ปลาย	2
37	4	ตัด	3
38	0	ตับ	1
38	1	จัดเป็น	ROOT
38	2	ต่อม	1
38	3	ที่	4
38	4	มี	2
38	5	ขนาด	4
38	6	ใหญ่	5
38	7	ที่สุด	6
38	8	ใน	9
38	9	ร่างกาย	7
39	0	การ	8
39	1	เพิ่ม	0
39	2	ขึ้น	1
39	3	ของ	4
39	4	แบคทีเรีย	0
39	5	ดื้อยา	4
39	6	ใน	7
39	7	ปัจจุบัน	0
39	8	มี	ROOT
39	9	สาเหตุ	8
39	10	หลัก	9
39	11	มา	9
39	12	จาก	13
39	13	การ	11
39	14	ใช้	13
39	15	ยา	14
39	16	ปฏิชีวนะ	15
39	17	ใน	18
39	18	มนุษย์	14
39	19	และ	20
39	20	สัตว์	18
39	21	อื่น	20
40	0	สงคราม	3
40	1	ครั้ง	0
40	2	นี้	1
40	3	มี	ROOT
40	4	รากเหง้า	3
40	5	มา	7
40	6	จาก	5
40	7	ความ	4
40	8	ไม่	9
40	9	พอใจ	7
40	10	ใน	12
40	11	บรรดา	11
40	12	ขุนนาง	7
40	13	และ	14
40	14	ซามูไร	12
41	0	ความ	6
41	1	พ่ายแพ้	0
41	2	ใน	3
41	3	ยุทธการ	0
41	4	ที่	5
41	5	ฮาโกดาเตะ	3
41	6	ทำลาย	ROOT
41	7	ที่มั่น	6
41	8	แห่ง	7
41	9	สุดท้าย	8
41	10	นี้	8
42	0	ลักษณะ	5
42	1	ของ	2
42	2	รายการ	0
42	3	ก็	5
42	4	จะ	5
42	5	เป็น	ROOT
42	6	การ	5
42	7	ทาย	6
42	8	ปัญหา	7
42	9	ใน	11
42	10	ทุก	11
42	11	รูปแบบ	8
43	0	ประเทศ	3
43	1	ญี่ปุ่น	0
43	2	กำลัง	3
43	3	ทำให้	ROOT
43	4	ทันสมัย	3
43	5	อยู่	3
44	0	มี	ROOT
44	1	หลักฐาน	0
44	2	จาก	3
44	3	การ	1
44	4	ทดลอง	3
44	5	ชี้	1
44	6	ให้	5
44	7	เห็น	6
44	8	ว่า	12
44	9	น้ำ	12
44	10	นม	9
44	11	คน	10
44	12	เป็น	7
44	13	แหล่ง	12
44	14	สาร	13
44	15	อาหาร	14
44	16	ที่	17
44	17	ดี	13
44	18	ที่สุด	17
44	19	สำหรับ	20
44	20	ทารก	18
45	0	แป้ง	2
45	1	ลางโกช	0
45	2	ทำ	ROOT
45	3	จาก	4
45	4	นม	2
45	5	แป้ง	4
45	6	ยีสต์	4
45	7	และ	8
45	8	เกลือ	4
46	0	ประเทศ	2
46	1	ออสเตรเลีย	0
46	2	มี	ROOT
46	3	การ	2
46	4	เก็บ	3
46	5	ภาษี	4
46	6	อยู่	2
46	7	3	8
46	8	ระดับ	3
46	9	คือ	10
46	10	รัฐบาล	8
46	11	รัฐ	10
46	12	และ	13
46	13	ท้องถิ่น	10
47	0	แป้ง	4
47	1	ทอด	0
47	2	ลางโกช	0
47	3	นั้น	0
47	4	คล้าย	ROOT
47	5	กับ	6
47	6	ขนมปัง	4
47	7	ทอด	6
47	8	ชนิด	6
47	9	หนึ่ง	8
47	10	ของ	11
47	11	ชน	6
47	12	พื้นเมือง	11
47	13	อเมริกา	12
48	0	กลุ่ม	3
48	1	ดาว	0
48	2	นี้	0
48	3	อยู่	ROOT
48	4	ใน	5
48	5	บริเวณ	3
48	6	ที่	7
48	7	เรียก	5
48	8	กัน	7
48	9	ว่า	10
48	10	ทะเล	7
48	11	ท้องฟ้า	10
49	0	พื้นที่	6
49	1	เก็บ	0
49	2	ของ	1
49	3	ใต้	4
49	4	ดิน	0
49	5	จะ	6
49	6	หุ้ม	ROOT
49	7	ด้วย	8
49	8	วัสดุ	6
49	9	ฉนวน	8
49	10	กัน	9
49	11	การ	10
49	12	เสีย	11
49	13	ความ	12
49	14	ร้อน	13
