tree_id	token_index	token	head_index	dep_type
0	0	สาธารณรัฐ	4	_
0	1	สังคมนิยม	0	_
0	2	โซเวียต	0	_
0	3	อับคาเซีย	0	_
0	4	เป็น	ROOT	_
0	5	สาธารณรัฐ	4	_
0	6	ที่	7	_
0	7	มี	5	_
0	8	อยู่	7	_
0	9	เป็น	11	_
0	10	เวลา	9	_
0	11	สั้น	7	_
0	12	ๆ	11	_
0	13	ใน	14	_
0	14	ภูมิภาค	7	_
0	15	คอเคซัส	14	_
0	16	ของ	17	_
0	17	สหภาพ	14	_
0	18	โซเวียต	17	_
1	0	แมว	2	_
1	1	เป็น	2	_
1	2	สปีชีส์	ROOT	_
1	3	สัตว์	2	_
1	4	เลี้ยง	3	_
1	5	ของ	6	_
1	6	สัตว์	2	_
1	7	เลี้ยง	6	_
1	8	ลูก	7	_
1	9	ด้วย	10	_
1	10	นม	7	_
2	0	ชาว	13	_
2	1	ยุโรป	0	_
2	2	คน	0	_
2	3	แรก	2	_
2	4	ที่	5	_
2	5	เดินทาง	0	_
2	6	ถึง	7	_
2	7	พื้นที่	5	_
2	8	แถบ	7	_
2	9	ตัลกาวาโน	8	_
2	10	ใน	11	_
2	11	ปัจจุบัน	9	_
2	12	คือ	13	_
2	13	ฆวน	ROOT	_
2	14	เบาติสตา	13	_
2	15	ปัสเตเน	13	_
3	0	สถานี	2	_
3	1	ไฉวัน	0	_
3	2	เปิด	ROOT	_
3	3	ให้	2	_
3	4	บริการ	3	_
3	5	ครั้ง	2	_
3	6	แรก	5	_
3	7	วันที่	2	_
3	8	31	7	_
3	9	พฤษภาคม	8	_
3	10	พ.ศ.	11	_
3	11	1985	8	_
4	0	เมื่อ	2	_
4	1	จิวยี่	2	_
4	2	เสียชีวิต	7	_
4	3	ไป	2	_
4	4	แล้ว	2	_
4	5	โลซก	7	_
4	6	ได้	7	_
4	7	ขึ้น	ROOT	_
4	8	เป็น	7	_
4	9	แม่ทัพ	8	_
4	10	ใหญ่	9	_
4	11	แทน	8	_
5	0	ทะเลสาบ	3	_
5	1	แห่ง	0	_
5	2	นี้	1	_
5	3	มี	ROOT	_
5	4	พื้นที่	3	_
5	5	17,700	6	_
5	6	ตาราง	4	_
5	7	กิโลเมตร	6	_
6	0	พระบาทสมเด็จ	1	_
6	1	พระจุลจอมเกล้า	3	_
6	2	เจ้าอยู่หัว	1	_
6	3	โปรด	ROOT	_
6	4	ให้	3	_
6	5	เปลี่ยน	4	_
6	6	คำ	5	_
6	7	นำ	6	_
6	8	พระนาม	7	_
6	9	เป็น	5	_
6	10	พระเจ้าน้องนางเธอ	9	_
7	0	ส่วน	2	_
7	1	มณฑป	0	_
7	2	ทำ	ROOT	_
7	3	ย่อเก็จ	2	_
7	4	มี	2	_
7	5	ซุ้ม	4	_
7	6	พระ	5	_
7	7	ทั้ง	8	_
7	8	4	9	_
7	9	ด้าน	5	_
8	0	ผู้ป่วย	3	_
8	1	ส่วนใหญ่	0	_
8	2	สามารถ	3	_
8	3	รักษา	ROOT	_
8	4	แบบ	3	_
8	5	ประคับประคอง	4	_
8	6	อาการ	5	_
8	7	ได้	3	_
8	8	ที่	9	_
8	9	บ้าน	3	_
9	0	เกาะ	2	_
9	1	นี้	0	_
9	2	เป็น	ROOT	_
9	3	ที่	2	_
9	4	รู้จัก	3	_
9	5	กัน	4	_
9	6	ดี	4	_
9	7	ใน	8	_
9	8	หมู่	4	_
9	9	พวก	10	_
9	10	ไวกิง	8	_
10	0	พระองค์	1	_
10	1	ทำ	ROOT	_
10	2	สงคราม	1	_
10	3	กับ	4	_
10	4	อังกฤษ	1	_
11	0	โครงการ	4	_
11	1	นี้	0	_
11	2	กลับ	4	_
11	3	ถูก	4	_
11	4	ปล่อย	ROOT	_
11	5	ละเลย	4	_
12	0	บิลเลโรฟอน	2	_
12	1	เป็น	2	_
12	2	โอรส	ROOT	_
12	3	ของ	4	_
12	4	กลอคัส	2	_
12	5	พระราชา	4	_
12	6	แห่ง	7	_
12	7	เมือง	5	_
12	8	คอรินท์	7	_
12	9	กับ	10	_
12	10	ยูริโน	4	_
13	0	อุโบสถ	2	_
13	1	ทรงไทย	0	_
13	2	สร้าง	ROOT	_
13	3	ปี	2	_
13	4	พ.ศ.	5	_
13	5	2470	3	_
14	0	ปัญหา	5	_
14	1	ดังกล่าว	0	_
14	2	ใน	3	_
14	3	ภายหลัง	5	_
14	4	ได้	5	_
14	5	มี	ROOT	_
14	6	การ	5	_
14	7	ระบุ	6	_
14	8	ว่า	9	_
14	9	เป็น	7	_
14	10	ปัญหา	9	_
14	11	คันเร่ง	10	_
14	12	ค้าง	11	_
15	0	อี	2	_
15	1	ฮี-โฮ	0	_
15	2	ดำรง	ROOT	_
15	3	ตำแหน่ง	2	_
15	4	ประธาน	3	_
15	5	ของ	6	_
15	6	ศูนย์	4	_
15	7	สันติภาพ	6	_
15	8	คิมแดจุง	6	_
16	0	เธอ	1	_
16	1	เกิด	ROOT	_
16	2	ที่	3	_
16	3	เมือง	1	_
16	4	เคโจ	3	_
16	5	จังหวัด	4	_
16	6	เคกิ	5	_
17	0	บิดา	5	_
17	1	ของ	2	_
17	2	เขา	0	_
17	3	เคย	5	_
17	4	ถูก	5	_
17	5	ถอด	ROOT	_
17	6	ออก	5	_
17	7	จาก	8	_
17	8	การ	6	_
17	9	สืบ	8	_
17	10	ราชสันตติวงศ์	9	_
17	11	แห่ง	12	_
17	12	สหราชอาณาจักร	10	_
18	0	นาย	1	_
18	1	สุเทพ	7	_
18	2	เทือกสุบรรณ	1	_
18	3	อดีต	4	_
18	4	เลขาธิการ	1	_
18	5	พรรค	4	_
18	6	เป็น	ROOT	_
18	7	ผู้	6	_
18	8	จัดการ	7	_
18	9	และ	10	_
18	10	ออก	8	_
18	11	ค่า	10	_
18	12	ใช้จ่าย	11	_
18	13	เอง	10	_
18	14	ทั้งหมด	10	_
19	0	ต่อมา	2	_
19	1	เขา	2	_
19	2	ฆ่าตัวตาย	ROOT	_
19	3	ด้วย	4	_
19	4	การ	2	_
19	5	กัด	4	_
19	6	แคปซูล	5	_
19	7	บรรจุ	6	_
19	8	ไซยาไนด์	7	_
20	0	โดยมาก	2	_
20	1	มัก	2	_
20	2	เสถียร	ROOT	_
20	3	ต่อ	4	_
20	4	ความ	2	_
20	5	ร้อน	4	_
21	0	ปากานีนี	1	_
21	1	หัด	ROOT	_
21	2	เล่น	1	_
21	3	ดนตรี	2	_
21	4	ตั้งแต่	5	_
21	5	อายุ	1	_
21	6	5	7	_
21	7	ปี	5	_
22	0	สุสาน	8	_
22	1	ประจำ	2	_
22	2	ตระกูล	0	_
22	3	โจว	2	_
22	4	ที่	5	_
22	5	ประเทศ	0	_
22	6	จีน	5	_
22	7	ถูก	8	_
22	8	ทำลาย	ROOT	_
22	9	ลง	8	_
23	0	พระองค์	1	_
23	1	ได้รับ	ROOT	_
23	2	การ	1	_
23	3	ประกาศ	2	_
23	4	ให้	3	_
23	5	เป็น	4	_
23	6	ยังดีเปอร์ตวนอากง	5	_
24	0	โดม	2	_
24	1	สามารถ	2	_
24	2	สร้าง	ROOT	_
24	3	ได้	2	_
24	4	โดย	5	_
24	5	ใช้	2	_
24	6	คอนกรีต	5	_
24	7	หรือ	8	_
24	8	อิฐ	6	_
25	0	ส่วนใหญ่	2	_
25	1	เป็น	2	_
25	2	พืช	ROOT	_
25	3	ล้มลุก	2	_
26	0	อิซวัน	1	_
26	1	ลง	ROOT	_
26	2	เล่น	1	_
26	3	ให้	5	_
26	4	กับ	3	_
26	5	ทีม	2	_
26	6	ชาติ	5	_
26	7	สิงคโปร์	6	_
26	8	ครั้ง	2	_
26	9	แรก	8	_
26	10	ใน	11	_
26	11	นัด	2	_
26	12	กระชับ	11	_
26	13	มิตร	12	_
26	14	ที่	15	_
26	15	พบ	11	_
26	16	กับ	17	_
26	17	จีน	15	_
26	18	ไทเป	17	_
27	0	อำเภอ	2	_
27	1	นี้	0	_
27	2	มี	ROOT	_
27	3	ประชากร	2	_
27	4	23,244	5	_
27	5	คน	3	_
28	0	ความ	9	_
28	1	พยายาม	0	_
28	2	ของ	3	_
28	3	ฮิเดโยชิ	0	_
28	4	ใน	5	_
28	5	การ	0	_
28	6	ยึดครอง	5	_
28	7	เกาหลี	6	_
28	8	นั้น	0	_
28	9	ล้มเหลว	ROOT	_
29	0	ใน	1	_
29	1	ธรรมชาติ	2	_
29	2	สูง	ROOT	_
29	3	ได้	2	_
29	4	ถึง	6	_
29	5	15	6	_
29	6	เมตร	2	_
30	0	วัด	2	_
30	1	นี้	0	_
30	2	ได้รับ	ROOT	_
30	3	พระราชทาน	2	_
30	4	โปรดเกล้า	3	_
30	5	ฯ	4	_
30	6	ยก	2	_
30	7	ฐานะ	6	_
30	8	ขึ้น	6	_
30	9	เป็น	6	_
30	10	พระอาราม	9	_
30	11	หลวง	10	_
30	12	เมื่อ	13	_
30	13	วันที่	2	_
30	14	31	13	_
30	15	พฤษภาคม	14	_
30	16	พ.ศ.	17	_
30	17	2521	14	_
31	0	โอดะ	3	_
31	1	โนบูนางะ	0	_
31	2	ได้	3	_
31	3	เบน	ROOT	_
31	4	ความ	3	_
31	5	สนใจ	4	_
31	6	ไป	3	_
31	7	ยัง	8	_
31	8	แถบ	3	_
31	9	คันโต	8	_
31	10	ใน	11	_
31	11	ทาง	9	_
31	12	ตะวันออก	11	_
32	0	เขา	1	_
32	1	เป็น	ROOT	_
32	2	ที่	1	_
32	3	รู้จัก	2	_
32	4	กัน	3	_
32	5	ดี	3	_
32	6	ใน	7	_
32	7	บทบาท	3	_
32	8	ของ	9	_
32	9	เขา	7	_
32	10	ใน	11	_
32	11	ฐานะ	7	_
32	12	M'Baku	11	_
33	0	มี	ROOT	_
33	1	กำหนด	0	_
33	2	จัด	1	_
33	3	ขึ้น	2	_
33	4	ที่	5	_
33	5	โซล	2	_
33	6	ประเทศ	5	_
33	7	เกาหลีใต้	6	_
34	0	รูปแบบ	8	_
34	1	ของ	2	_
34	2	อนุภาค	0	_
34	3	รังสี	2	_
34	4	ชนิด	2	_
34	5	อื่น	4	_
34	6	ๆ	5	_
34	7	อาจ	8	_
34	8	ทำให้	ROOT	_
34	9	เกิด	8	_
34	10	การ	9	_
34	11	ย่อยสลาย	10	_
34	12	ด้วย	13	_
34	13	แสง	11	_
34	14	ได้	9	_
35	0	ใบ	3	_
35	1	หนา	0	_
35	2	เป็น	3	_
35	3	รูป	ROOT	_
35	4	รี	3	_
35	5	ถึง	6	_
35	6	รูป	3	_
35	7	ไข่	6	_
36	0	กระทั่ง	1	_
36	1	ปลาย	10	_
36	2	ปี	1	_
36	3	พ.ศ.	4	_
36	4	2549	2	_
36	5	พระองค์เจ้า	6	_
36	6	นโรดม	10	_
36	7	มารี	6	_
36	8	รณฤทธิ์	6	_
36	9	ได้	10	_
36	10	แยก	ROOT	_
36	11	กัน	10	_
36	12	อยู่	10	_
36	13	และ	15	_
36	14	ทรง	15	_
36	15	ฟ้องหย่า	10	_
36	16	สมเด็จกรมพระ	17	_
36	17	นโรดม	15	_
36	18	รณฤทธิ์	17	_
37	0	ผล	1	_
37	1	รูป	ROOT	_
37	2	ไข่	1	_
37	3	ปลาย	2	_
37	4	ตัด	3	_
38	0	ตับ	1	_
38	1	จัดเป็น	ROOT	_
38	2	ต่อม	1	_
38	3	ที่	4	_
38	4	มี	2	_
38	5	ขนาด	4	_
38	6	ใหญ่	5	_
38	7	ที่สุด	6	_
38	8	ใน	9	_
38	9	ร่างกาย	7	_
39	0	การ	8	_
39	1	เพิ่ม	0	_
39	2	ขึ้น	1	_
39	3	ของ	4	_
39	4	แบคทีเรีย	0	_
39	5	ดื้อยา	4	_
39	6	ใน	7	_
39	7	ปัจจุบัน	0	_
39	8	มี	ROOT	_
39	9	สาเหตุ	8	_
39	10	หลัก	9	_
39	11	มา	9	_
39	12	จาก	13	_
39	13	การ	11	_
39	14	ใช้	13	_
39	15	ยา	14	_
39	16	ปฏิชีวนะ	15	_
39	17	ใน	18	_
39	18	มนุษย์	14	_
39	19	และ	20	_
39	20	สัตว์	18	_
39	21	อื่น	20	_
40	0	สงคราม	3	_
40	1	ครั้ง	0	_
40	2	นี้	1	_
40	3	มี	ROOT	_
40	4	รากเหง้า	3	_
40	5	มา	7	_
40	6	จาก	5	_
40	7	ความ	4	_
40	8	ไม่	9	_
40	9	พอใจ	7	_
40	10	ใน	12	_
40	11	บรรดา	12	_
40	12	ขุนนาง	7	_
40	13	และ	14	_
40	14	ซามูไร	12	_
41	0	ความ	6	_
41	1	พ่ายแพ้	0	_
41	2	ใน	3	_
41	3	ยุทธการ	0	_
41	4	ที่	5	_
41	5	ฮาโกดาเตะ	3	_
41	6	ทำลาย	ROOT	_
41	7	ที่มั่น	6	_
41	8	แห่ง	7	_
41	9	สุดท้าย	8	_
41	10	นี้	8	_
42	0	ลักษณะ	5	_
42	1	ของ	2	_
42	2	รายการ	0	_
42	3	ก็	5	_
42	4	จะ	5	_
42	5	เป็น	ROOT	_
42	6	การ	5	_
42	7	ทาย	6	_
42	8	ปัญหา	7	_
42	9	ใน	11	_
42	10	ทุก	11	_
42	11	รูปแบบ	8	_
43	0	ประเทศ	3	_
43	1	ญี่ปุ่น	0	_
43	2	กำลัง	3	_
43	3	ทำให้	ROOT	_
43	4	ทันสมัย	3	_
43	5	อยู่	3	_
44	0	มี	ROOT	_
44	1	หลักฐาน	0	_
44	2	จาก	3	_
44	3	การ	1	_
44	4	ทดลอง	3	_
44	5	ชี้	1	_
44	6	ให้	5	_
44	7	เห็น	6	_
44	8	ว่า	12	_
44	9	น้ำ	12	_
44	10	นม	9	_
44	11	คน	10	_
44	12	เป็น	7	_
44	13	แหล่ง	12	_
44	14	สาร	13	_
44	15	อาหาร	14	_
44	16	ที่	17	_
44	17	ดี	13	_
44	18	ที่สุด	17	_
44	19	สำหรับ	20	_
44	20	ทารก	18	_
45	0	แป้ง	2	_
45	1	ลางโกช	0	_
45	2	ทำ	ROOT	_
45	3	จาก	4	_
45	4	นม	2	_
45	5	แป้ง	4	_
45	6	ยีสต์	4	_
45	7	และ	8	_
45	8	เกลือ	4	_
46	0	ประเทศ	2	_
46	1	ออสเตรเลีย	0	_
46	2	มี	ROOT	_
46	3	การ	2	_
46	4	เก็บ	3	_
46	5	ภาษี	4	_
46	6	อยู่	2	_
46	7	3	8	_
46	8	ระดับ	3	_
46	9	คือ	10	_
46	10	รัฐบาล	8	_
46	11	รัฐ	10	_
46	12	และ	13	_
46	13	ท้องถิ่น	10	_
47	0	แป้ง	4	_
47	1	ทอด	0	_
47	2	ลางโกช	0	_
47	3	นั้น	0	_
47	4	คล้าย	ROOT	_
47	5	กับ	6	_
47	6	ขนมปัง	4	_
47	7	ทอด	6	_
47	8	ชนิด	6	_
47	9	หนึ่ง	8	_
47	10	ของ	11	_
47	11	ชน	6	_
47	12	พื้นเมือง	11	_
47	13	อเมริกา	12	_
48	0	กลุ่ม	3	_
48	1	ดาว	0	_
48	2	นี้	0	_
48	3	อยู่	ROOT	_
48	4	ใน	5	_
48	5	บริเวณ	3	_
48	6	ที่	7	_
48	7	เรียก	5	_
48	8	กัน	7	_
48	9	ว่า	10	_
48	10	ทะเล	7	_
48	11	ท้องฟ้า	10	_
49	0	พื้นที่	6	_
49	1	เก็บ	0	_
49	2	ของ	1	_
49	3	ใต้	4	_
49	4	ดิน	0	_
49	5	จะ	6	_
49	6	หุ้ม	ROOT	_
49	7	ด้วย	8	_
49	8	วัสดุ	6	_
49	9	ฉนวน	8	_
49	10	กัน	9	_
49	11	การ	10	_
49	12	เสีย	11	_
49	13	ความ	12	_
49	14	ร้อน	13	_
